Subject	Gender	Hand Posture	Trial	Interval	CorrectResponse	Given Response	Accuracy	RT	Image
104	female	Up	23	800	j	j	1	507	Middle Finger
104	female	Up	24	1100	b	b	1	318	Thumb
104	female	Up	25	800	j	j	1	443	Middle Finger
104	female	Up	26	1100	l	l	1	360	Little Finger
104	female	Up	27	950	h	h	1	360	Index
104	female	Up	28	500	j	j	1	534	Middle Finger
104	female	Up	29	650	l	l	1	315	Little Finger
104	female	Up	30	800	h	h	1	339	Index
104	female	Up	31	650	j	j	1	360	Middle Finger
104	female	Up	32	650	l	l	1	379	Little Finger
104	female	Up	33	650	j	j	1	392	Middle Finger
104	female	Up	34	950	h	b	0	342	Index
104	female	Up	35	650	k	k	1	583	Ring Finger
104	female	Up	36	1100	b	b	1	424	Thumb
104	female	Up	37	650	k	k	1	446	Ring Finger
104	female	Up	38	1100	h	h	1	443	Index
104	female	Up	39	950	b	b	1	323	Thumb
104	female	Up	40	1100	l	l	1	344	Little Finger
104	female	Up	41	800	h	h	1	563	Index
104	female	Up	42	950	k	k	1	355	Ring Finger
104	female	Up	43	950	j	j	1	320	Middle Finger
104	female	Up	44	650	b	b	1	379	Thumb
104	female	Up	45	1100	k	k	1	531	Ring Finger
104	female	Up	46	800	b	b	1	467	Thumb
104	female	Up	47	800	k	k	1	691	Ring Finger
104	female	Up	48	500	h	h	1	696	Index
104	female	Up	49	950	j	j	1	315	Middle Finger
104	female	Up	50	650	b	b	1	355	Thumb
105	male	Down	1	950	k	k	1	720	Ring Finger
105	male	Down	2	800	h	h	1	365	Index
105	male	Down	3	500	k	k	1	394	Ring Finger
105	male	Down	4	1100	l	l	1	317	Little Finger
105	male	Down	5	950	b	b	1	442	Thumb
105	male	Down	6	500	h	h	1	408	Index
105	male	Down	7	650	b	b	1	434	Thumb
105	male	Down	8	1100	h	h	1	277	Index
105	male	Down	9	1100	j	h	0	408	Middle Finger
105	male	Down	10	500	b	b	1	381	Thumb
105	male	Down	11	800	l	l	1	368	Little Finger
105	male	Down	12	650	k	k	1	450	Ring Finger
105	male	Down	13	950	l	l	1	346	Little Finger
105	male	Down	14	1100	b	b	1	338	Thumb
105	male	Down	15	650	k	l	0	288	Ring Finger
105	male	Down	16	950	h	h	1	368	Index
105	male	Down	17	650	j	j	1	410	Middle Finger
105	male	Down	18	650	l	l	1	389	Little Finger
105	male	Down	19	650	j	j	1	381	Middle Finger
105	male	Down	20	800	h	h	1	288	Index
105	male	Down	21	650	l	l	1	330	Little Finger
105	male	Down	22	500	j	j	1	368	Middle Finger
105	male	Down	23	950	h	h	1	352	Index
105	male	Down	24	1100	l	l	1	354	Little Finger
105	male	Down	25	800	j	j	1	448	Middle Finger
105	male	Down	26	1100	b	b	1	429	Thumb
105	male	Down	27	800	k	k	1	573	Ring Finger
105	male	Down	28	800	j	j	1	445	Middle Finger
105	male	Down	29	1100	h	h	1	354	Index
105	male	Down	30	500	j	j	1	605	Middle Finger
105	male	Down	31	950	k	k	1	661	Ring Finger
105	male	Down	32	500	h	h	1	988	Index
105	male	Down	33	500	l	l	1	319	Little Finger
105	male	Down	34	1100	k	k	1	369	Ring Finger
105	male	Down	35	650	b	b	1	444	Thumb
105	male	Down	36	950	j	j	1	484	Middle Finger
105	male	Down	37	500	b	b	1	473	Thumb
105	male	Down	38	1100	k	k	1	340	Ring Finger
105	male	Down	39	1100	j	j	1	428	Middle Finger
105	male	Down	40	950	l	l	1	321	Little Finger
105	male	Down	41	950	b	b	1	377	Thumb
105	male	Down	42	500	k	k	1	641	Ring Finger
105	male	Down	43	800	l	l	1	396	Little Finger
105	male	Down	44	650	h	h	1	468	Index
105	male	Down	45	800	b	b	1	396	Thumb
105	male	Down	46	500	l	l	1	395	Little Finger
105	male	Down	47	650	h	h	1	308	Index
105	male	Down	48	950	j	j	1	329	Middle Finger
105	male	Down	49	800	k	k	1	516	Ring Finger
105	male	Down	50	800	b	b	1	436	Thumb
105	male	Up	1	800	k	k	1	559	Ring Finger
105	male	Up	2	650	h	h	1	440	Index
105	male	Up	3	500	l	l	1	342	Little Finger
105	male	Up	4	800	b	b	1	363	Thumb
105	male	Up	5	800	l	l	1	411	Little Finger
105	male	Up	6	500	k	k	1	440	Ring Finger
105	male	Up	7	950	l	l	1	520	Little Finger
105	male	Up	8	1100	j	h	0	342	Middle Finger
105	male	Up	9	1100	k	k	1	462	Ring Finger
105	male	Up	10	500	b	b	1	414	Thumb
105	male	Up	11	500	l	l	1	478	Little Finger
105	male	Up	12	650	h	h	1	446	Index
105	male	Up	13	800	l	l	1	382	Little Finger
105	male	Up	14	500	k	k	1	478	Ring Finger
105	male	Up	15	950	b	b	1	323	Thumb
105	male	Up	16	950	l	l	1	387	Little Finger
105	male	Up	17	1100	j	j	1	510	Middle Finger
105	male	Up	18	500	b	b	1	824	Thumb
105	male	Up	19	500	h	h	1	560	Index
105	male	Up	20	950	k	k	1	440	Ring Finger
105	male	Up	21	500	j	j	1	494	Middle Finger
105	male	Up	22	1100	h	h	1	550	Index
105	male	Up	23	800	j	j	1	438	Middle Finger
105	male	Up	24	1100	b	b	1	352	Thumb
105	male	Up	25	800	j	j	1	374	Middle Finger
105	male	Up	26	1100	l	l	1	414	Little Finger
105	male	Up	27	950	h	h	1	368	Index
105	male	Up	28	500	j	j	1	446	Middle Finger
105	male	Up	29	650	l	l	1	424	Little Finger
105	male	Up	30	800	h	h	1	358	Index
105	male	Up	31	650	j	j	1	646	Middle Finger
105	male	Up	32	650	l	l	1	352	Little Finger
